"GivenName","MiddleName","Surname","Description","Office","OfficePhone","Country","Department","Title","Manager","CreatedOn","SamAccountName","AccountPassword","Status","BadgeNumber","AssignedSeat","ComputerName"
"Pamela","Kristen","Srini","10/30/2024","Aurora","713-485-5574","US","Humance Resources","HR Specialist ","Ryan Brown","11/9/2024","pks","Set","Completed","1000000","B101Seat1","BJSHFG72"
"Cameron","Ashley","Rodriguez","10/30/2019","Aurora","713-485-5557","US","Accounting and Finance","Accountant","Edward Hernandez","11/16/2024","car","Set","Completed","1000001","B101Seat2","BJSHFG73"
"Peter","Ronald","Nara","11/20/2014","Aurora","713-485-5558","US","Accounting and Finance","Accountant","Edward Hernandez","11/23/2024","prn","Set","Completed","1000002","B101Seat3","BJSHFG74"
"Theodore","Jon","Diaz","11/20/2014","Aurora","713-485-5559","US","Accounting and Finance","Accountant","Edward Hernandez","11/23/2024","tjd","Set","Completed","1000003","B101Seat4","BJSHFG75"
"Christine","Ruth","Nara","11/20/2014","Aurora","713-485-5560","US","Art and Design","Art and Design Manager","Ryan Brown","11/23/2024","crn","Set","Completed","1000004","B101Seat5","BJSHFG76"
"Latoya","Jamie","Shen","11/20/2014","Aurora","713-485-5561","US","Art and Design","UX design","Christine Nara","11/23/2024","ljs","Set","Completed","1000005","B101Seat6","BJSHFG77"
"Stephanie","Angela","Cox","11/20/2014","Aurora","713-485-5562","US","Art and Design","UX design","Christine Nara","11/23/2024","sac","Set","Completed","1000006","B101Seat7","BJSHFG78"
"Joshua","Hunter","Lee","11/20/2014","Aurora","713-485-5563","US","Art and Design","Backend UI design","Christine Nara","11/23/2024","jhl","Set","Completed","1000007","B101Seat8","BJSHFG79"
"Dalton","","Wood","11/20/2014","Aurora","713-485-5564","US","Art and Design","Animation design","Christine Nara","11/23/2024","dxw","Set","Completed","1000008","B101Seat9","BJSHFG80"
"Clayton","Sarah","Shan","11/20/2014","Aurora","713-485-5565","US","Content and Review ","Content and Review Manager","Ryan Brown","11/23/2024","css","Set","Completed","1000009","B101Seat10","BJSHFG81"
"Paige","Mason","Peterson","11/20/2014","Aurora","713-485-5566","US","Content and Review","Content creator","Clayton Shan","11/23/2024","pmp","Set","Completed","1000010","B101Seat11","BJSHFG82"
"Dalton","Jeremiah","Hill","11/20/2014","Aurora","713-485-5567","US","Content and Review","Content creator","Clayton Shan","11/23/2024","djh","Set","Completed","1000011","B101Seat12","BJSHFG83"
"Johnathan","","Srini","11/20/2014","Aurora","713-485-5568","US","Content and Review","Content creator","Clayton Shan","11/23/2024","jxs","Set","Completed","1000012","B101Seat13","BJSHFG84"
"Beth","Willie","Ruiz","11/20/2014","Aurora","713-485-5569","US","Content and Review","Content creator","Clayton Shan","11/23/2024","bwr","Set","Completed","1000013","B101Seat14","BJSHFG85"
"Rachel","Robert","Davis","11/20/2014","Aurora","713-485-5570","US","Content and Review","Content creator","Clayton Shan","11/23/2024","rrd","Set","Completed","1000014","B101Seat15","BJSHFG86"
